xcoord,ycoord
605612.5,5292451
605088.4,5292602
604967.6,5292657
604935.3,5292508
604881.6,5292189
605006.8,5292070
655767,5289354
655515,5289304
655611,5289640
655305,5289714
655273,5290092
655507,5290172
655486,5290442
655727,5290501
655969,5290539
548970.6,5326310
549020,5326518
549077.2,5326697
549486.8,5326410
549575.4,5326274
549639.8,5326173
549656.4,5327756
549768.1,5327589
549952.9,5327605
550711.7,5331677
550559.4,5331788
550511.4,5331843
550668.1,5331909
550724.9,5331758
550901.2,5331733
551382.5,5331559
414744,5265457
414659.6,5265624
419182.3,5271356
419238.4,5271533
419287.7,5271717
419271.5,5271914
419265.3,5272195
419310.6,5272383
420549.5,5271426
420708.1,5271463
420808.1,5271607
421347.9,5271584
421534.3,5271591
421683.2,5271439
423379.6,5270353
423262.8,5270461
423110,5270587
546680.1,5333039
541751.8,5334893
541710.4,5334758
541940.4,5334350
542201.5,5334323
541823.1,5334466
541701.3,5334596
540605.2,5335027
540558.7,5334833
540873.4,5334383
540742.4,5334855
541028.3,5334548
541227.8,5334430
616706.9,5273271
616884.1,5273144
616610.4,5273138
617316.7,5271996
617340.4,5272138
617373.1,5272262
617670.8,5272105
617859.4,5272132
618035.2,5272139
616552.9,5272501
616542.4,5272338
616500.4,5272117
594063.6,5283230
594419.3,5283961
594522.6,5284272
594584.4,5284379
594710.4,5284426
597667.1,5285334
597866.3,5285337
597925.9,5285500
597967.6,5285673
597989.4,5285864
598110.1,5286057
598830,5259093
598608,5258925
598325,5258949
598119,5259104
598339,5259212
598197,5259427
597893,5259330
597696,5259213
597602,5258982
547228.1,5327029
547402.4,5327062
547599.8,5327054
398063.4,5252156
398194.7,5252167
398404.4,5252263
395445.2,5259006
395409.2,5258799
395553.2,5258824
395793.5,5258764
395880.6,5258568
396034.2,5258340
396132.5,5258226
396154.6,5258082
396261.4,5258041
396466.8,5258012
396554,5257937
396510.2,5257768
396752.7,5257624
396798.8,5257188
396761.4,5256973
380651.8,5226073
380849,5226013
381184.8,5225322
381326.3,5225315
381461.5,5225448
381317.6,5225652
381546.6,5225760
381740.6,5225721
381836.6,5225906
381898.9,5226500
381423.3,5226284
381208.6,5226383
382425.4,5220660
382514.6,5220847
382558.7,5220994
547877.6,5327023
547961.8,5327181
547914.8,5327357
548616.1,5327084
548589.1,5327204
548593.4,5327355
541364.6,5337618
541579.6,5337608
541435.3,5337446
541594,5337824
541429.2,5337954
541144.8,5337582
540900,5337469
540532.9,5337630
538532.5,5338234
538625.8,5338347
538781.8,5338445
508889.6,5343446
508894.3,5343233
509101.4,5343227
509295.6,5343847
509422.8,5343977
509459.9,5344172
509466.4,5344302
509620.8,5344382
509812.8,5344370
509793.3,5344557
509660.9,5344722
509445.6,5344881
610730,5313163
610905.3,5313090
611077.3,5313124
611699.6,5315055
611863.6,5315022
612017.4,5315020
612195.8,5314974
610863.5,5313926
610924.9,5314088
610979.2,5314265
589830.9,5284179
589958.3,5284194
590013,5284065
588350,5283555
588295,5283386
588158,5283310
589299,5282827
589161.8,5282852
588988.2,5282856
588864.8,5282894
588727.7,5282988
589168,5282790
645817.4,5267713
645949.3,5267784
646126.6,5267817
646250,5267919
646479.8,5267903
646644.1,5267843
646822.9,5267831
647009.4,5267786
647168.8,5267762
647099.8,5268000
646974.3,5268090
647065.9,5268205
645994.2,5285832
645934.1,5285657
645798.3,5285647
645447.9,5285425
645290.1,5285472
645204.8,5285484
644439.1,5286064
644426.8,5286171
644444.9,5286333
644509.4,5286438
644391.7,5286545
644283.1,5286716
672104.5,5290579
671917.6,5290586
671826.1,5290411
671807,5290214
671983.6,5290245
672172.9,5290823
672205.3,5291034
672071.9,5291227
671893,5291342
671680.9,5291403
671386,5291291
416436.2,5222732
416277.2,5222789
416206.8,5222648
416233.0058,5222455.265
416297.4,5222234
416268.5,5222091
416440.8,5222073
416620.6,5222079
416639.8,5222258
416468.9,5222308
416483.9,5222476
416666.8,5222437
418959.9,5205199
419113.9,5205212
419287,5205194
419408.3,5205318
419536.4,5205447
419440.2,5205566
419348.6,5205702
419296.4,5205857
419251.6,5206006
419229.3,5206167
419100.5,5206267
418939.2,5206191
591006,5287378
591120.4617,5287651.367
591231,5287935
591154,5287748
591207,5286932
591231,5287141
591213,5287340
604701,5284182
605112,5284336
604981,5284197
604848,5284319
605008,5284437
603241.9,5284493
603306.2,5284702
603338.1,5284858
602694,5285524
602655,5285323
602706,5285141
615802,5289352
616033,5289437
615762,5291004
616024,5289676
615964,5291233
615878,5291469
615347,5291730
615172,5291524
615036,5291257
502650.1,5343860
502799.8,5343911
503019.6,5343949
502887.2,5344324
502928.1,5344478
503075.1,5344395
503224.4,5344542
503081.4,5344619
503057.5,5345351
503079.5,5345206
503109.8,5345096
502899.2,5345058
502739.1,5345120
502620.4,5345302
541395.5,5333907
541209.1,5333912
540988.2,5333907
541679.9,5332924
541773.9,5333067
541758.4,5333214
541972.1,5333074
542077.4,5333199
542076.8,5333385
543680.6,5333414
651330.2,5295787
651184.4,5295706
651229.9,5295596
651386.6,5295552
651374.2,5295395
651382.8,5295205
651527.5,5295113
651554.6,5295293
651568.4,5295456
651531.3,5295646
651422.8,5296011
651371.3,5296182
650753,5283192
650945,5283362
650756,5283543
650525,5283688
650327,5283500
650333,5283253
650509,5282953
650389,5282753
650257,5282545
649790,5275011
649970.3,5274951
650143.3,5274858
648885,5274483
649081.8,5274360
649231.3,5274100
648705.3,5274033
648473.6,5274226
648467.8,5274849
648450.8,5274693
648458.2,5274481
648494.4,5274055
612253,5270495
612034,5270345
611997,5270079
611669,5269994
611601,5269765
611668,5269524
612104,5269327
612022,5269102
612223,5268976
598689.3,5287702
598742.1,5287863
598807.1,5288017
598248.5,5286983
598151.8,5287114
598046.1,5287246
590897.3775,5287048.549
590881,5287219
543812.2,5333467
544032.8,5333419
554553.2,5331699
554698.4,5331578
553250.9,5330703
553178.4,5330861
553190.2,5331048
553369.6,5331027
553542.6,5330925
553563.8,5330711
552693.8,5330775
552608.3,5330955
552550.1,5330814
554597.2,5332025
547829.1,5329728
547708.8,5329878
547648.8,5330001
547475.2,5330032
547392.7,5330158
546749.3,5329310
546611.3,5329387
546470.4,5329528
546203.9,5329348
546312,5329464
546463.4,5329404
422549.7,5240649
422767.2,5240540
422839.4,5240759
423525,5241282
423711.7,5241390
423687.6,5241597
418446.7,5268514
418549,5268353
418883.7,5267897
418325.8,5268700
419040.7,5267807
419081.1,5267694
418530.6,5267814
418661.4,5267527
418598.7,5267283
418656.6,5267677
418484.2,5267091
418305.9,5266957
418885.1,5266048
419171,5265762
419053.4,5265872
446287.4,5263282
446293.3,5263446
446234,5262836
446597.9,5262785
446403.8,5262764
384214,5214661
384443.6,5214482
379003,5206096
379036.9,5206317
378800.4,5208910
378741,5209058
378683.5,5208795
380267.6,5208783
379065.4,5209229
379142.6,5209110
379191.2,5208852
379822.7,5208561
380049.7,5208510
379083.8,5205874
427805.6,5211694
427855.3,5211528
428024.3,5211481
428198,5211464
428305.8,5211343
428408.4,5211206
427060.6,5211054
427016.7,5210834
426929.3,5210613
427057.2,5209877
427192.9,5209977
427362.7,5209963
446615.9,5262941
446501,5263007
446359.4,5263070
446220.5,5263125
445202.6,5263376
445283.4,5263718
445234.6,5263555
453522.1,5277417
453433.3,5277390
453211.0351,5277410.223
452300.3,5277390
452095.9,5277818
452069.3,5278009
453803.7,5278583
453978.7,5278551
454081.9,5278255
455314.1,5277297
455133.1,5277335
454841.2,5277314
408199.2583,5262701.534
406857.1,5264555
407029.8,5264644
407135.9,5264787
406766.3,5264205
407717.7,5263421
407786.1,5263227
407958.5,5263218
408024.1,5263025
408106.1,5262841
383543.3,5232919
382528.4,5232863
382656.1,5232994
382810.4,5233116
382596.9,5232713
382772.7,5232792
382885.2,5232953
383908.5,5233129
383723.2,5233064
383634.7,5237859
383777.4,5238432
383616.6,5238179
385677.6,5215495
385434.8,5215621
385280.6,5215461
384447.4,5214659
384589.4,5214668
384598.1,5214467
384584.5,5214293
384710.6,5216483
384792.2,5216301
385029.6,5216424
387291.4,5279675
387446.1,5279548
387461.9,5279678
387726.5,5280299
387723.3,5280447
387684.6,5280654
387944.2,5280262
388111.3,5280279
388105.6,5280445
388293.7,5280298
388445.2,5280151
388582,5280352
397314.2,5253013
397350.4,5252795
397540.064,5252738.278
397513.9,5252539
397621.7,5252428
397788.8,5252428
397892.4,5252053
397885.9,5251887
397706.3,5251896
397581.8,5251812
397401.8,5251845
397494.9,5251658
397832.1,5257532
397452,5257262
397166.8,5257138
393746.8,5256357
393932.8,5256445
394030.6,5256593
394041.9,5256839
394317.8,5256685
394643.7,5256993
394819.1,5256962
394663.4866,5256812.198
380884.2,5227132
380958.1,5227233
381102,5227208
381318.7,5227189
381449,5227039
381541.8,5227225
382045.7,5227131
382014.1,5227320
382031.2,5227545
382476.3,5222548
382583.6,5222417
382579.9,5222599
382564.6,5222813
382408.9,5222862
382354.9,5223028
382141,5222974
381902.8,5222861
381770.2,5222699
381632.6,5222795
381492.4,5222665
381434.5,5222493
420200.8,5214941
420219.8,5215144
419437.5,5215265
419620.5,5215070
419448.4,5215442
420357.5,5215361
419504,5217200
419646.8,5217161
419837.5,5217143
398103,5251897
594150.9,5283481
388983.1,5280134
389172.7,5280122
628780.1,5291136
628813.9,5291317
628739.3,5291437
591249,5287591
591430,5287660
591513,5287868
415024.2115,5264234.055
414949.2504,5264050.889
414919.2413,5263820.558
398345.4,5251705
398364.3,5251511
398366.1,5251289
398199.2,5251422
398060.5,5251523
398031.3,5251705
397953,5251859
398051.9,5252052
391492.8,5279320
391588.3,5279493
391412.1,5279381
389769.4,5279700
390055.2,5279325
390088.7,5279520
390113.5,5279679
389939.3,5279691
389726.3,5279529
389324.8,5280281
408363.5,5264779
408530.9,5264764
406730.7,5264024
406667.9,5264262
443992.4,5261711
422198.3,5242231
422047.1,5242229
394225.8,5256764
414703.3,5265602
422416.5,5242173
422387.4,5240678
671248,5291099
548500.9,5330641
548664.9,5330650
541291.4,5337822
550118.4,5326997
549909.1,5326995
549782.7,5327152
548969.6,5327316
548801.7,5327194
548719.4,5327049
547927.6,5329593
530648.4296,5345703.349
530665.6861,5345529.925
530665.8296,5345281.279
605602.6,5293568
660064.2,5285721
660185.3,5285667
660336.6,5285627
635126.8,5271097
635009.5,5271175
635575.9,5270611
635450.3,5270545
419273.2,5216366
393265.8,5273333
393287.1,5262242
393321.3,5273551
427288,5229484
427464.8,5229642
431425.9,5272710
431117.7,5272836
430229.4,5273825
435277,5277093
435325.9,5276803
435316.6,5277340
414377.5,5282165
414288.4,5282356
414225.8,5282642
413951.7,5282629
414492,5284045
415207.2,5284382
415219.9,5284603
404859.5,5288114
404862.6,5288325
393376.9,5273765
419288,5216148
418960.9,5215761
418729.2,5215790
419103.8,5215977
393153.1,5273925
392992.7,5273706
393010.2,5273370
390921.2,5276289
391162.5,5276266
391413.3,5276272
388981.9,5280787
389445.4,5280755
393375.8,5261998
393071.5,5262101
427107.1,5229346
431322.7,5272944
430338.1,5273631
430239.7,5273413
414383.8,5281936
414247.5,5283622
413989.3,5282851
414993.4,5284474
414379.8,5283834
406419.7,5291611
404856.3,5288572
404834.7,5285778
404650,5285682
404829.4,5285541
405527.4,5292441
405752.3,5292380
406238.7,5291744
405708.6,5292153
389197.8,5280699
419065.7,5216208
433264.4,5208734
414687.2,5271457
407631.7,5270521
407935.3,5270663
392878.5,5252461
392718.4,5252616
393017.4,5252662
393194.7,5252506
392898.4,5252853
397721.7,5257333
397987.4,5257260
420018.8,5218324
420116.1,5218599
433478.7,5208502
421238,5218470
421477.1,5218479
421701.4,5218497
433704.2,5208605
419894.9,5218524
407710.4,5270745
392565,5252814
414492.4,5271290
398076.3,5257469
406023.9,5291814
414726.3,5271243
